dteday_,workingday_,cnt_sum,cnt_mean,cnt_median
2011-11-20,1,16943,3388.6,3392.0
2011-11-27,0,7634,2544.6666666666665,3068.0
2011-11-27,1,9730,2432.5,2665.5
2011-12-04,0,7099,3549.5,3549.5
2011-12-04,1,18061,3612.2,3727.0
2011-12-11,0,5933,2966.5,2966.5
2011-12-11,1,14052,2810.4,3322.0
2011-12-18,0,5170,2585.0,2585.0
2011-12-18,1,17859,3571.8,3577.0
2011-12-25,0,1765,882.5,882.5
2011-12-25,1,15090,3018.0,3068.0
2012-01-01,0,6096,2032.0,2294.0
2012-01-01,1,8886,2221.5,2362.5
2012-01-08,0,9897,3299.0,3425.0
2012-01-08,1,11974,2993.5,2820.0
2012-01-15,0,4804,2402.0,2402.0
2012-01-15,1,15462,3092.4,3214.0
2012-01-22,0,5576,1858.6666666666667,1977.0
2012-01-22,1,12766,3191.5,3227.5
2012-01-29,0,7266,3633.0,3633.0
2012-01-29,1,18572,3714.4,4075.0
2012-02-05,0,5779,2889.5,2889.5
2012-02-05,1,20624,4124.8,4151.0
2012-02-12,0,3698,1849.0,1849.0
2012-02-12,1,18622,3724.4,3830.0
2012-02-19,0,7007,3503.5,3503.5
2012-02-19,1,18672,3734.4,3922.0
2012-02-26,0,9250,3083.3333333333335,3129.0
2012-02-26,1,17099,4274.75,4275.0
2012-03-04,0,7489,3744.5,3744.5
2012-03-04,1,18703,3740.6,4322.0
2012-03-11,0,9029,4514.5,4514.5
2012-03-11,1,22156,4431.2,4569.0
2012-03-18,0,13728,6864.0,6864.0
2012-03-18,1,28027,5605.4,5847.0
2012-03-25,0,8368,4184.0,4184.0
2012-03-25,1,33709,6741.8,6230.0
2012-04-01,0,12276,6138.0,6138.0
2012-04-01,1,27950,5590.0,5558.0
2012-04-08,0,12026,6013.0,6013.0
2012-04-08,1,32061,6412.2,6457.0
2012-04-15,0,14592,7296.0,7296.0
2012-04-15,1,28172,5634.4,5585.0
2012-04-22,0,14021,4673.666666666667,6370.0
2012-04-22,1,24913,6228.25,6628.0
2012-04-29,0,10524,5262.0,5262.0
2012-04-29,1,26302,5260.4,5633.0
2012-05-06,0,13242,6621.0,6621.0
2012-05-06,1,30198,6039.6,6169.0
2012-05-13,0,13547,6773.5,6773.5
2012-05-13,1,30320,6064.0,6273.0
2012-05-20,0,15423,7711.5,7711.5
2012-05-20,1,30405,6081.0,7384.0
2012-05-27,0,13127,6563.5,6563.5
2012-05-27,1,29196,5839.2,6073.0
2012-06-03,0,21804,7268.0,7641.0
2012-06-03,1,24063,6015.75,6299.0
2012-06-10,0,14096,7048.0,7048.0
2012-06-10,1,36284,7256.8,7055.0
2012-06-17,0,14680,7340.0,7340.0
2012-06-17,1,34085,6817.0,7363.0
2012-06-24,0,14349,7174.5,7174.5
2012-06-24,1,29863,5972.6,5905.0
2012-07-01,0,11218,5609.0,5609.0
2012-07-01,1,33898,6779.6,6879.0
2012-07-08,0,16915,5638.333333333333,4840.0
2012-07-08,1,25335,6333.75,6234.0
2012-07-15,0,13000,6500.0,6500.0
2012-07-15,1,35068,7013.6,7264.0
2012-07-22,0,11869,5934.5,5934.5
2012-07-22,1,31790,6358.0,6591.0
2012-07-29,0,13282,6641.0,6641.0
2012-07-29,1,36496,7299.2,6966.0
2012-08-05,0,12288,6144.0,6144.0
2012-08-05,1,36337,7267.4,7216.0
2012-08-12,0,12843,6421.5,6421.5
2012-08-12,1,34892,6978.4,7273.0
2012-08-19,0,12414,6207.0,6207.0
2012-08-19,1,35767,7153.4,7148.0
2012-08-26,0,11308,5654.0,5654.0
2012-08-26,1,36258,7251.6,7375.0
2012-09-02,0,11950,5975.0,5975.0
2012-09-02,1,36717,7343.4,7350.0
2012-09-09,0,20237,6745.666666666667,6034.0
2012-09-09,1,27683,6920.75,6988.0
2012-09-16,0,16047,8023.5,8023.5
2012-09-16,1,38975,7795.0,7804.0
2012-09-23,0,16302,8151.0,8151.0
2012-09-23,1,34420,6884.0,7591.0
2012-09-30,0,15444,7722.0,7722.0
2012-09-30,1,37515,7503.0,7436.0
2012-10-07,0,11475,5737.5,5737.5
2012-10-07,1,34473,6894.6,7328.0
2012-10-14,0,19226,6408.666666666667,6639.0
2012-10-14,1,28935,7233.75,7426.0
2012-10-21,0,14914,7457.0,7457.0
2012-10-21,1,33803,6760.6,7461.0
2012-10-28,0,12311,6155.5,6155.5
2012-10-28,1,37020,7404.0,7444.0
2012-11-04,0,10245,5122.5,5122.5
2012-11-04,1,18517,3703.4,5566.0
2012-11-11,0,13388,6694.0,6694.0
2012-11-11,1,27287,5457.4,5315.0
2012-11-18,0,16567,5522.333333333333,5629.0
2012-11-18,1,20732,5183.0,5470.0
2012-11-25,0,7126,2375.3333333333335,2424.0
2012-11-25,1,20189,5047.25,5322.5
2012-12-02,0,9840,4920.0,4920.0
2012-12-02,1,25297,5059.4,5260.0
2012-12-09,0,8810,4405.0,4405.0
2012-12-09,1,28952,5790.4,5729.0
2012-12-16,0,8833,4416.5,4416.5
2012-12-16,1,27133,5426.6,5501.0
2012-12-23,0,3536,1768.0,1768.0
2012-12-23,1,23160,4632.0,4585.0
2012-12-30,0,4150,1383.3333333333333,1341.0
2012-12-30,1,6570,1642.5,1517.0
